otu	domain	phylum	order	class	family	genus	quality
OTU_199	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	|100
OTU_200	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|94
OTU_201	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|95
OTU_204	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	|93
OTU_205	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_206	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|76
OTU_207	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_208	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_209	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	|96
OTU_210	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Mogibacterium	|100
OTU_211	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|79
OTU_212	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	|100
OTU_213	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|99
OTU_214	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_215	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_216	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_217	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|100
OTU_218	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Gordonibacter	|100
OTU_219	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_220	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	|97
OTU_221	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Cellulosilyticum	|100
OTU_222	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Incertae_Sedis	|98
OTU_223	Bacteria	Firmicutes	Bacilli	Bacillales	Family_XI	Gemella	|100
OTU_224	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	|100
OTU_225	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_226	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	unclassified	|79
OTU_227	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified	|100
OTU_228	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Allisonella	|100
OTU_229	Bacteria	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae	Incertae_Sedis	|100
OTU_230	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|99
OTU_231	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Epulopiscium	|100
OTU_232	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	|100
OTU_233	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	|100
OTU_234	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
OTU_235	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	|100
OTU_236	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	|100
OTU_237	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	|81
OTU_239	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified	|70
OTU_240	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	|76
OTU_241	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|95
OTU_242	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
OTU_243	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|73
OTU_245	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|100
OTU_246	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	|99
OTU_247	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified	|89
OTU_248	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	|95
OTU_249	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	|100
OTU_250	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	unclassified	|99
OTU_251	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|99
OTU_252	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	|100
OTU_253	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_254	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	|100
OTU_255	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	unclassified	|100
OTU_256	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Slackia	|100
OTU_257	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Fastidiosipila	|99
OTU_258	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|100
OTU_259	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Hafnia	|95
