gene	status
GUSB	candidate
GXYLT1	candidate
GYPC	candidate
H1-2	candidate
H1-3	candidate
H1-4	candidate
H1-5	candidate
H1-8	candidate
H2AC11	candidate
H2AC16	candidate
H2AC17	candidate
H2AC20	candidate
H2AC6	candidate
H2AC7	candidate
H2AZ2	candidate
H2BC11	candidate
H2BC12	candidate
H2BC17	candidate
H2BC3	candidate
H2BC5	candidate
H2BC7	candidate
H2BC8	candidate
H2BC9	candidate
H3-5	candidate
H3C10	candidate
H3C11	candidate
H3C12	candidate
H3C3	candidate
H3C4	candidate
H3C8	candidate
H4C11	candidate
H4C2	candidate
H4C4	candidate
H4C5	candidate
H4C8	candidate
HAPLN1	candidate
HAVCR1	candidate
HAX1	candidate
HCFC2	candidate
HCN1	candidate
HDAC1	candidate
HDAC2	candidate
HDAC7	candidate
HDAC9	candidate
HEATR1	candidate
HECTD1	candidate
HECW1	candidate
HECW2	candidate
HELZ2	candidate
HEPACAM2	candidate
HERC1	candidate
HERC2	candidate
HES1	candidate
HEXA	candidate
HGF	candidate
HHAT	candidate
HHLA2	candidate
HIKESHI	candidate
HINFP	candidate
HIPK2	candidate
HIVEP1	candidate
HK3	candidate
HLA-A	candidate
HLA-B	candidate
HLA-DQA1	candidate
HLA-DRB1	candidate
HLA-DRB5	candidate
HLA-F	candidate
HLTF	candidate
HM13	candidate
HMCN1	candidate
HMGB1	candidate
HNF1B	candidate
HNF4A	candidate
HNRNPA3	candidate
HNRNPC	candidate
HNRNPCL1	candidate
HNRNPD	candidate
HNRNPDL	candidate
HNRNPH3	candidate
HNRNPK	candidate
HNRNPL	candidate
HNRNPU	candidate
HORMAD1	candidate
HOXA10	candidate
HOXA7	candidate
HOXC6	candidate
HPD	candidate
HPSE2	candidate
HRH4	candidate
HRNR	candidate
HS1BP3	candidate
HS2ST1	candidate
HSBP1	candidate
HSF1	candidate
HSP90AB1	candidate
HSPA1L	candidate
HSPA4	candidate
HSPG2	candidate
HTR1E	candidate
HTR3C	candidate
HTR7	candidate
HTRA1	candidate
HUWE1	candidate
HVCN1	candidate
HYDIN	candidate
ICAM3	candidate
ICAM4	candidate
IFI27	candidate
IFI44L	candidate
IFIT3	candidate
IFITM2	candidate
IFITM3	candidate
IFT140	candidate
IGDCC4	candidate
IGF1R	candidate
IGF2	candidate
