otu	domain	phylum	order	class	family	genus	quality
OTU_104	OTU_104	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	|100
OTU_105	OTU_105	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	|96
OTU_106	OTU_106	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	|100
OTU_107	OTU_107	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila	|100
OTU_108	OTU_108	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	|96
OTU_109	OTU_109	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|91
OTU_110	OTU_110	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	|100
OTU_111	OTU_111	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	|100
OTU_112	OTU_112	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|100
OTU_113	OTU_113	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	|82
OTU_114	OTU_114	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|89
OTU_115	OTU_115	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Adlercreutzia	|100
OTU_116	OTU_116	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	|100
OTU_117	OTU_117	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella	|100
OTU_118	OTU_118	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	|100
OTU_119	OTU_119	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	|100
OTU_120	OTU_120	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|82
OTU_121	OTU_121	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	|100
OTU_122	OTU_122	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Atopobium	|100
OTU_123	OTU_123	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	|100
OTU_124	OTU_124	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|100
OTU_125	OTU_125	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	|93
OTU_126	OTU_126	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	|100
OTU_127	OTU_127	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|100
OTU_128	OTU_128	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Incertae_Sedis	|98
OTU_129	OTU_129	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	|100
OTU_130	OTU_130	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	unclassified	|100
OTU_131	OTU_131	Bacteria	Tenericutes	Mollicutes	RF9	unclassified	unclassified	|100
OTU_132	OTU_132	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Incertae_Sedis	|99
OTU_133	OTU_133	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella	|100
OTU_134	OTU_134	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_SS1	|99
OTU_135	OTU_135	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Sarcina	|100
OTU_136	OTU_136	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	|99
OTU_137	OTU_137	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	|92
OTU_138	OTU_138	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Incertae_Sedis	|88
OTU_139	OTU_139	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	|100
OTU_140	OTU_140	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	|84
OTU_141	OTU_141	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Incertae_Sedis	|98
