entity	from	gene	desc	ncg.bst	diff.btw	diff.win	qval0.0	qval0.1	qval0.2	qval0.3	qval0.4	qval0.5
ENSG00000228315	0.3	GUSBP11	GUSB pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:42325]	n/a	-0.626431393898525	1.04947834901663	6.49306477243317e-09	0.00136613282731577	0.0402914419246141	0.118305630447761	0.201159760294483	0.249961073593294
ENSG00000228340	0.3	MIR646HG	MIR646 host gene [Source:HGNC Symbol;Acc:HGNC:27659]	n/a	-0.949955923873768	1.90454843700916	1.23126313618581e-05	0.000288544411307376	0.019112652519871	0.0780167724193536	0.160450249957657	0.216672751173023
ENSG00000228444	0.3		"novel transcript, sense intronic to LMO7"	n/a	-0.817889591265539	1.77400938267864	0.000431835876405853	0.0053912843404848	0.0482665018821534	0.129890304635289	0.207613383787208	0.256396385538038
ENSG00000228474	0.3	OST4	"oligosaccharyltransferase complex subunit 4, non-catalytic [Source:HGNC Symbol;Acc:HGNC:32483]"	n/a	0.710846037882608	0.865891275216445	7.59833272539916e-16	2.53520907353852e-09	0.000842316088268766	0.0833010388323455	0.139964702337899	0.195546690802846
ENSG00000228495	0.3	LINC01013	long intergenic non-protein coding RNA 1013 [Source:HGNC Symbol;Acc:HGNC:48987]	n/a	-0.993681766496314	2.24834128872732	0.000977371478874779	0.00879872116987016	0.0372069304195936	0.0956951905391253	0.179666612194493	0.237861741584951
ENSG00000228519	0.3	RANBP1P1	RANBP1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54908]	n/a	0.849312453655495	1.42327589714653	0.000291102067520722	0.000937954830954646	0.016210603417641	0.107928013588626	0.17208515827897	0.211362409485037
ENSG00000228638	0.3	FCF1P2	FCF1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:44614]	n/a	0.742661066839844	0.725616182136338	4.01593454024127e-18	9.81253205137774e-11	0.000361962623530041	0.081629754196955	0.137720699933846	0.196147999688522
ENSG00000228801	0.3	PCMTD1-DT	PCMTD1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55791]	n/a	0.590914473346666	0.998793273982413	1.08845430670343e-08	2.18525073078032e-05	0.0192851116318851	0.115879194001165	0.173248917846784	0.21457291096023
ENSG00000229122	0.3	AGBL5-IT1	AGBL5 intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41484]	n/a	-0.756190497528879	1.16640573895387	2.90036324324775e-08	0.000118908079900437	0.0230533272663606	0.0853538912872883	0.161375593701848	0.23149357766802
ENSG00000229124	0.3	VIM-AS1	VIM antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44879]	n/a	-1.15949270652309	1.56765825595662	9.21579709792012e-08	6.72296738478872e-05	0.0136790882820538	0.0524925690146378	0.116949818888506	0.172852352523225
